Timestamp,"Do you work, live or access services in Klickitat or Skamania County?",Please enter the ZIP CODE for the community you live in:,What are you involved in locally that helps you live a happy life or get support when you need it?,Which of these best describes your housing today?  (mark all that apply),Is HOUSING a challenge in your community?,"If you said 'yes', please mark all the reasons HOUSING is a problem for you or for people you know:",Did you or anyone else in your household lose a job as a result of COVID-19?,Do you have access to the internet at home?,How many people are in your household (sharing income and expenses)?,"During the past year, what was the total gross income for your household?  ",Is EMPLOYMENT a challenge in your community?,"If you said 'yes', please mark all the reasons EMPLOYMENT is a problem for you or for people you know:","During the 12 months BEFORE covid-19 lockdowns in March, did you or the people you live with worry that you would run out of food before you were able to get more?  ","During the months AFTER covid-19 lockdowns, did you or the people you live with worry that you would run out of food before you were able to get more?  ",Is FOOD a challenge in your community?,"If you said 'yes', please mark all the reasons FOOD is a problem for you or for people you know:",Is TRANSPORTATION a challenge in your community?,If you said 'yes' please mark all the reasons TRANSPORTATION is a problem for you or for people you know:,Is HEALTH CARE a challenge in your community?,"If you said 'yes', please mark all the reasons HEALTH CARE is a problem for you or for people you know:",Please mark the gender you most identify with: ,What age group are you in?,Please select the races or ethnicities you most identify with:,Please mark all WAGAP services you currently use:,"Please share how you feel about this statement: ""WAGAP has helped me learn how or where to get services or other things I need in life""","Please share how you feel about this statement: ""Working with WAGAP has made me feel more hopeful about my community or my life.""","If there are other big problems in your community, or you have an idea about how WAGAP could help - or if there is anything else you would like us to know, please explain here:",survey completed in Spanish
10/06/2020 06:04,Yes,98648,None,I have housing and I am NOT worried about losing it,No,,no,Yes,,,,,,,,n/a,,,,,,,,,,,The Stevenson community pool needs help to reopen. The community needs this as a health resource. ,
11/12/2020 13:50,No,97058,"Sports team or club, Hobby groups (books clubs, art club, etc.), Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat",Cost of rent or house payment,yes,Yes,2,"Less than $15,000","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses",Sometimes,No,No,n/a,No,,No,n/a,Female,18-64 years old,Native American/American Indian,,Agree,Agree,,
10/03/2020 19:06,Yes,98648,"Community or civic volunteer group, Close friends, garden, library for books","Other living arrangement (hotel, staying with friends, etc.)","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,1,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, not enough training for young workers",No,No,"Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation",No,,Female,65 years or older,White,,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,"Regional transportation plan needs work, why not share limited resources across the river,  in the Gorge counties,, instead of just in one community?  Also, working on legislating rent control. Working on raising benefits for getting fresh food.  The 40 dollars seniors get for fresh food is ludicrous;  the number should be 400 at the very least..  Call me and I'll help as much as I can.  Mary Repar,  360.726.7052.",
10/06/2020 16:18,Yes,98648,"Sports team or club, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",yes,Yes,1,"$100,000 or more","Yes, somewhat",Good paying jobs with benefits are hard to find,No,Sometimes,"Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.)","Yes, somewhat",Limited public transportation,"Yes, somewhat",Unsure where to go or what services are available,Female,18-64 years old,White,,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,More information about volunteering opportunities ,
10/07/2020 10:31,Yes,98635,None,"I am staying in a shelter, a car, a tent or on the street","Yes, somewhat",,no,No,1,"Less than $15,000","Yes, a BIG problem!",,No,Sometimes,"Yes, a BIG problem!",,"Yes, a BIG problem!",,No,n/a,Male,18-64 years old,White,,,,,
10/18/2020 12:46:08,No,97058,"Community or civic volunteer group, Sports team or club, Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Yes,2,"$100,000 or more","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,No,"Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat",Cost of buying and maintaining a car,,"Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options",Female,18-64 years old,White,,Agree,Agree,,
9/24/2020 10:24:44,Yes,98650,"Hobby groups (books clubs, art club, etc.), Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,2,"$65,000 to $99,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,"Yes, somewhat","Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Not enough mental health treatment options, Lack of transportation",Female,18-64 years old,White,,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,I am semi retired and feel fortunate but I see problems in our small town in Klickitat County.  For instance we had a gentlemen renting a small hut living in the woods with MS who neighbors were taking care of.  Finally his mother came and took him to a place in vancouver.   There are several people living in these conditions.   It is very sad.,
10/04/2020 08:28,Yes,98648,"Hobby groups (books clubs, art club, etc.), Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Yes,2,"Less than $15,000","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,Sometimes,"Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat",Unsure where to go or what services are available,Male,18-64 years old,White,,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/04/2020 18:31,Yes,98610,"None, Outdoor activities",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,2,"$65,000 to $99,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,No,No,n/a,No,n/a,No,n/a,Male & Female,18-64 years old,White,,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/05/2020 08:23,Yes,98639,"Faith group or church, Community or civic volunteer group, Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Not enough housing available to rent or buy",yes,Yes,2,"$65,000 to $99,999","Yes, somewhat",We live in a tourism community.  No tour No work,No,Sometimes,"Yes, a BIG problem!",Not enough income to purchase food,No,,No,,Female,18-64 years old,White,,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/27/2020 16:14:46,Yes,98648,"My partner, outdoor recreation",I have housing and I am NOT worried about losing it,"Yes, somewhat",Not enough housing available to rent or buy,no,Yes,2,"$100,000 or more",No,n/a,No,No,No,n/a,No,n/a,"Yes, somewhat",Far away,Female,18-64 years old,White,,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
11/16/2020 18:21:49,Yes,98610,,"I have housing, but I AM WORRIED about losing it","Yes, somewhat",Cost of rent or house payment,no,No,2,"$15,000 to $29,999","Yes, somewhat",Wages are too low to cover monthly expenses,Sometimes,No,No,n/a,"Yes, somewhat",Limited public transportation,No,n/a,Female,18-64 years old,White,,Neutral,Neutral,,
9/25/2020 23:59:49,Yes,98650,"Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!",Not enough housing available to rent or buy,no,Yes,4,"$65,000 to $99,999","Yes, a BIG problem!","Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,No,n/a,"Yes, somewhat",Limited public transportation,"Yes, somewhat",Not enough mental health treatment options,Female,18-64 years old,White,,Strongly Agree,Strongly Agree,,
10/01/2020 16:47,Yes,98605,None,I have housing and I am NOT worried about losing it,"Yes, somewhat","Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Yes,4,"$65,000 to $99,999",No,,No,No,No,n/a,No,,No,,Male,18-64 years old,White,,Neutral,Neutral,,
10/05/2020 23:54,Yes,98610,"Hobby groups (books clubs, art club, etc.), Close friends, Gardening",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",yes,Yes,4,"$65,000 to $99,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Lack of adequate insurance, Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation",Female,18-64 years old,White,,Strongly Disagree,Disagree,People need to create jobs as well as work.,
10/15/2020 1:36:08,Yes,98672,"Faith group or church, Sports team or club, Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Sometimes,4,"$65,000 to $99,999","Yes, somewhat",Wages are too low to cover monthly expenses,No,No,"Yes, somewhat",Food is super expensive here,No,n/a,"Yes, somewhat",n/a,Male,18-64 years old,White,,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,"Housing, wages that match the cost of living",
